rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,danceability,energy,valence,tempo,loudness,acousticness,instrumentalness,speechiness,liveness
1,3mCCFs2hdDM2mObzARzxOg,"STILLA, Ness",תיק קטן,2023 Va’ad Ha Bait records By PIL LTD,1,1,6,294961,08/06/2023,0.878,0.553,0.354,138.012,-8.424,0.53,0.0002,0.374,0.14
2,6dUregFbvUNqHP5nphqesK,"Noa Kirel, כאן - תאגיד השידור הישראלי",Unicorn,KAN Israeli Public Broadcasting Corporation under exclusive license to D-Music,1,2,14,247237,08/06/2023,0.681,0.868,0.282,130.126,-5.499,0.0216,0.0002,0.095,0.323
3,1DmW5Ep6ywYwxc2HMT5BG6,Loreen,Tattoo,Universal Music AB,2,3,7,219846,08/06/2023,0.545,0.779,0.303,150.002,-6.235,0.243,0,0.0751,0.123
4,3Au0H4VhjcXZ5HGOHo8Nc3,Static,רונדלים,Mobile1 Music,4,6,16,219449,08/06/2023,0.857,0.621,0.615,108.966,-6.86,0.117,0,0.203,0.0975
5,0QDGzInNYjTlYI28Xq7slK,"Doli & Penn, Eden Hason",לאהוב אותך כל יום,Dolev Ram / Penn Hazut / Sarit Productions under exclusive license to D-Music,5,17,3,191500,08/06/2023,0.607,0.468,0.516,74.996,-8.711,0.164,0,0.039,0.122
6,5RX8T3EoTuXcybAxe6oPAw,Käärijä,Cha Cha Cha,WM Finland,3,4,5,176655,08/06/2023,0.718,0.791,0.743,155.082,-5.572,0.0021,0.0029,0.0447,0.111
7,4RyMByXc5HfKc3b8wqwOso,Peer Tasi,אהבה חולה,Peer Tasi LTD under exclusive license to D-Music,1,7,27,171252,08/06/2023,0.616,0.4,0.335,140.27,-11.169,0.193,0.0009,0.0327,0.102
8,1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,8,77,160368,08/06/2023,0.648,0.776,0.625,92.033,-7.552,0.0096,0,0.0401,0.145
9,60BOR51eeN8A3wYIrElggH,"Osher Cohen, Odeya",אני פה,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,2,9,17,157621,08/06/2023,0.732,0.54,0.349,106.998,-8.727,0.511,0,0.0986,0.431
10,14LdhxElpZS0rKVV4nxtdA,Alessandra,Queen of Kings,Universal Music AS,5,5,5,152033,08/06/2023,0.563,0.908,0.171,125.972,-4.25,0.0696,0,0.0868,0.328
11,7BcRDWY4VTCvRRHoobFWWo,"Tuna, Jasmin Moallem",סהרה - Live,NaNa Disc,1,11,51,151824,08/06/2023,0.33,0.768,0.361,156.52,-6.433,0.75,0,0.129,0.963
12,1Rh5r9vUOumJ1sbPuv3dkO,Eden Hason,עד שתבואי עד אליי,Mobile1 Music,5,10,28,147202,08/06/2023,0.69,0.704,0.537,124.021,-6.265,0.191,0,0.0428,0.101
13,3zhFqDzJZfnc8L5QkGWWG6,Benaia Barabi,קרן שמש,B.B Productions Ltd. under exclusive license to D-Music,1,13,47,135701,08/06/2023,0.714,0.487,0.528,100.009,-7.396,0.562,0,0.0257,0.0895
14,4DHcnVTT87F0zZhRPYmZ3B,Miley Cyrus,Flowers,Columbia,1,12,21,129703,08/06/2023,0.707,0.681,0.646,117.999,-4.325,0.0632,0,0.0668,0.0322
15,1huEeoVeYDxX6XEF640FfM,Omer Adam,DXB to TLV,P.A.I LTD,15,-1,1,126917,08/06/2023,0.706,0.888,0.477,123.056,-7.226,0.106,0.0006,0.0795,0.0982
